tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9697,0.0324,0.9849,0.8864,0.9937,0.9597
easy,IsolationForest,0.9437,0.0186,0.6667,0.6418,0.9638,0.7819
easy,LOF,0.9035,0.1049,0.965,0.7068,0.9857,0.9334
easy,RobustRollingZScore,0.8678,0.0216,0.057,0.0806,0.4872,0.1465
easy,ZScore,0.8711,0.012,0.0136,0.024,0.822,0.4953
hard,Autoencoder,0.8802,0.0404,0.8315,0.8431,0.9479,0.95
hard,IsolationForest,0.6752,0.0224,0.4898,0.5213,0.9021,0.902
hard,LOF,0.8834,0.1149,0.8823,0.8833,0.9469,0.9494
hard,RobustRollingZScore,0.4133,0.0211,0.0667,0.1111,0.5015,0.6375
hard,ZScore,0.3872,0.01,0.0178,0.0337,0.8089,0.8419
medium,Autoencoder,0.9548,0.0338,0.9362,0.9255,0.9854,0.9681
medium,IsolationForest,0.8392,0.0192,0.608,0.6274,0.9572,0.8886
medium,LOF,0.9072,0.1265,0.9622,0.8849,0.9873,0.9741
medium,RobustRollingZScore,0.6307,0.0202,0.0612,0.0969,0.4934,0.4049
medium,ZScore,0.6227,0.0101,0.0236,0.0432,0.7934,0.6923
total,Autoencoder,0.9349,0.0355,0.9175,0.885,0.9757,0.9593
total,IsolationForest,0.8193,0.0201,0.5882,0.5968,0.941,0.8575
total,LOF,0.898,0.1154,0.9365,0.825,0.9733,0.9523
total,RobustRollingZScore,0.6373,0.021,0.0616,0.0962,0.494,0.3963
total,ZScore,0.627,0.0107,0.0183,0.0336,0.8081,0.6765
