tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9471,0.0108,0.6378,0.6941,0.9723,0.8512
easy,IsolationForest,0.9177,0.0102,0.3888,0.4286,0.9486,0.6743
easy,LOF,0.9388,0.0426,0.8021,0.7464,0.9692,0.8154
easy,RobustRollingZScore,0.8655,0.0188,0.0168,0.0288,0.4876,0.1274
easy,ZScore,0.875,0.0093,0.0269,0.0472,0.8093,0.3205
hard,Autoencoder,0.6503,0.0132,0.444,0.5203,0.8681,0.8861
hard,IsolationForest,0.4914,0.0104,0.1861,0.2058,0.8804,0.8827
hard,LOF,0.6601,0.0286,0.4693,0.5668,0.911,0.9249
hard,RobustRollingZScore,0.3831,0.0192,0.0168,0.0322,0.4711,0.6031
hard,ZScore,0.3824,0.0089,0.0094,0.0185,0.7198,0.7524
medium,Autoencoder,0.8245,0.0105,0.5555,0.6177,0.9347,0.8881
medium,IsolationForest,0.6985,0.01,0.2229,0.2645,0.9258,0.8328
medium,LOF,0.8416,0.0425,0.6524,0.7196,0.9512,0.9043
medium,RobustRollingZScore,0.6149,0.018,0.016,0.0303,0.4746,0.3758
medium,ZScore,0.6188,0.0094,0.012,0.0232,0.7622,0.5924
total,Autoencoder,0.8073,0.0115,0.5457,0.6107,0.925,0.8751
total,IsolationForest,0.7025,0.0102,0.2659,0.2996,0.9183,0.7966
total,LOF,0.8135,0.0379,0.6413,0.6776,0.9438,0.8815
total,RobustRollingZScore,0.6212,0.0186,0.0165,0.0304,0.4777,0.3688
total,ZScore,0.6254,0.0092,0.0161,0.0296,0.7637,0.5551
