tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.8477,0.1715,0.9882,0.6121,0.9524,0.6575
easy,IsolationForest,0.8958,0.0523,0.5151,0.4759,0.9394,0.597
easy,LOF,0.7844,0.2429,0.9845,0.5252,0.9346,0.6121
easy,RobustRollingZScore,0.8706,0.0116,0.0074,0.0134,0.4823,0.1331
easy,ZScore,0.8719,0.0163,0.0518,0.0753,0.7007,0.3091
hard,Autoencoder,0.8155,0.2378,0.8481,0.8125,0.8216,0.7953
hard,IsolationForest,0.5195,0.0992,0.2858,0.3069,0.8172,0.7925
hard,LOF,0.8431,0.2557,0.9036,0.8711,0.8065,0.7787
hard,RobustRollingZScore,0.381,0.0101,0.0078,0.0154,0.5067,0.6247
hard,ZScore,0.4043,0.015,0.0484,0.0793,0.6661,0.7557
medium,Autoencoder,0.8505,0.222,0.9688,0.8312,0.9297,0.8016
medium,IsolationForest,0.7448,0.07,0.4425,0.4625,0.9156,0.7724
medium,LOF,0.8046,0.2977,0.9716,0.7951,0.8914,0.7385
medium,RobustRollingZScore,0.6164,0.0104,0.0076,0.0148,0.4914,0.3892
medium,ZScore,0.6292,0.0142,0.0473,0.0771,0.6871,0.592
total,Autoencoder,0.8379,0.2105,0.935,0.7519,0.9013,0.7515
total,IsolationForest,0.72,0.0738,0.4145,0.4151,0.8907,0.7206
total,LOF,0.8107,0.2654,0.9532,0.7305,0.8775,0.7098
total,RobustRollingZScore,0.6227,0.0107,0.0076,0.0145,0.4934,0.3823
total,ZScore,0.6351,0.0151,0.0492,0.0772,0.6846,0.5522
