tag,variant,tier,target,n_anomaly,n_total,detector,accuracy,fpr,precision,recall,f1,latency_s,auc_roc,auc_pr,event_detected,threshold,tp,tn,fp,fn
ecg_baseline_wander,1,easy,signal,1800,15000,ZScore,0.8691,0.0124,0.0,0.0,0.0,,0.7647,0.2777,False,3121971428.571226,0,13036,164,1800
ecg_baseline_wander,1,easy,signal,1800,15000,RobustRollingZScore,0.8672,0.0146,0.0052,0.0006,0.001,0.019,0.415,0.0946,True,1282774.262715,1,13007,193,1799
ecg_baseline_wander,1,easy,signal,1800,15000,IsolationForest,0.922,0.0153,0.8046,0.4622,0.5872,0.0,0.9568,0.7227,True,0.573679,832,12998,202,968
ecg_baseline_wander,1,easy,signal,1800,15000,Autoencoder,0.8914,0.0634,0.5463,0.56,0.5531,0.0,0.9145,0.6094,True,0.768711,1008,12363,837,792
ecg_baseline_wander,1,easy,signal,1800,15000,LOF,0.8855,0.075,0.5201,0.5961,0.5555,0.019,0.9141,0.5762,True,2.311338,1073,12210,990,727
ecg_baseline_wander,2,easy,signal,1800,15000,ZScore,0.8742,0.0066,0.0,0.0,0.0,,0.7559,0.2833,False,3121971428.571226,0,13113,87,1800
ecg_baseline_wander,2,easy,signal,1800,15000,RobustRollingZScore,0.869,0.0125,0.0,0.0,0.0,,0.426,0.0972,False,1282774.262715,0,13035,165,1800
ecg_baseline_wander,2,easy,signal,1800,15000,IsolationForest,0.9146,0.0239,0.7255,0.4639,0.5659,0.233,0.92,0.6232,True,0.573679,835,12884,316,965
ecg_baseline_wander,2,easy,signal,1800,15000,Autoencoder,0.8677,0.0937,0.4596,0.5844,0.5146,1.886,0.8653,0.5359,True,0.768711,1052,11963,1237,748
ecg_baseline_wander,2,easy,signal,1800,15000,LOF,0.8415,0.1216,0.3904,0.5711,0.4638,1.828,0.8391,0.4152,True,2.311338,1028,11595,1605,772
ecg_baseline_wander,1,medium,signal,5700,15000,ZScore,0.6161,0.0062,0.0,0.0,0.0,,0.8335,0.694,False,3121971428.571226,0,9242,58,5700
ecg_baseline_wander,1,medium,signal,5700,15000,RobustRollingZScore,0.6141,0.0099,0.0417,0.0007,0.0014,86.586,0.4469,0.3249,True,1282774.262715,4,9208,92,5696
ecg_baseline_wander,1,medium,signal,5700,15000,IsolationForest,0.6344,0.0249,0.6588,0.0786,0.1404,2.917,0.8182,0.6412,True,0.573679,448,9068,232,5252
ecg_baseline_wander,1,medium,signal,5700,15000,Autoencoder,0.6292,0.0767,0.5441,0.1493,0.2343,2.197,0.728,0.5361,True,0.768711,851,8587,713,4849
ecg_baseline_wander,1,medium,signal,5700,15000,LOF,0.6517,0.0883,0.6124,0.2275,0.3318,2.061,0.7838,0.5957,True,2.311338,1297,8479,821,4403
ecg_baseline_wander,2,medium,signal,5700,15000,ZScore,0.6177,0.0058,0.2603,0.0033,0.0066,23.528,0.8563,0.7043,True,3121971428.571226,19,9246,54,5681
ecg_baseline_wander,2,medium,signal,5700,15000,RobustRollingZScore,0.6158,0.01,0.2439,0.0053,0.0103,23.119,0.4619,0.3363,True,1282774.262715,30,9207,93,5670
ecg_baseline_wander,2,medium,signal,5700,15000,IsolationForest,0.6661,0.0257,0.7956,0.1632,0.2708,1.128,0.8563,0.7128,True,0.573679,930,9061,239,4770
ecg_baseline_wander,2,medium,signal,5700,15000,Autoencoder,0.6655,0.0661,0.6785,0.2277,0.341,2.683,0.7904,0.6275,True,0.768711,1298,8685,615,4402
ecg_baseline_wander,2,medium,signal,5700,15000,LOF,0.6779,0.0786,0.6863,0.2805,0.3983,0.019,0.8234,0.6661,True,2.311338,1599,8569,731,4101
ecg_baseline_wander,1,hard,signal,9300,15000,ZScore,0.3817,0.0042,0.6712,0.0053,0.0105,86.606,0.7004,0.7465,True,3121971428.571226,49,5676,24,9251
ecg_baseline_wander,1,hard,signal,9300,15000,RobustRollingZScore,0.3789,0.0137,0.4388,0.0066,0.0129,8.536,0.5078,0.6118,True,1282774.262715,61,5622,78,9239
ecg_baseline_wander,1,hard,signal,9300,15000,IsolationForest,0.3952,0.023,0.7327,0.0386,0.0733,28.467,0.6499,0.6873,True,0.573679,359,5569,131,8941
ecg_baseline_wander,1,hard,signal,9300,15000,Autoencoder,0.4043,0.0765,0.6472,0.086,0.1519,38.986,0.6168,0.6734,True,0.768711,800,5264,436,8500
ecg_baseline_wander,1,hard,signal,9300,15000,LOF,0.4589,0.1082,0.7447,0.1935,0.3072,3.908,0.7292,0.7477,True,2.311338,1800,5083,617,7500
ecg_baseline_wander,2,hard,signal,9300,15000,ZScore,0.3813,0.0009,0.8276,0.0026,0.0051,65.489,0.9373,0.9404,True,3121971428.571226,24,5695,5,9276
ecg_baseline_wander,2,hard,signal,9300,15000,RobustRollingZScore,0.3781,0.0079,0.2623,0.0017,0.0034,32.978,0.4884,0.5703,True,1282774.262715,16,5655,45,9284
ecg_baseline_wander,2,hard,signal,9300,15000,IsolationForest,0.4269,0.0123,0.9171,0.0832,0.1526,2.294,0.8308,0.8405,True,0.573679,774,5630,70,8526
ecg_baseline_wander,2,hard,signal,9300,15000,Autoencoder,0.4579,0.036,0.8702,0.1477,0.2526,2.217,0.7858,0.8165,True,0.768711,1374,5495,205,7926
ecg_baseline_wander,2,hard,signal,9300,15000,LOF,0.5023,0.0321,0.9169,0.217,0.3509,2.119,0.8989,0.9105,True,2.311338,2018,5517,183,7282
ecg_electrode_dropout,1,easy,signal,1800,15000,ZScore,0.8687,0.0139,0.0707,0.0078,0.014,8.808,0.746,0.2173,True,3121971428.571226,14,13016,184,1786
ecg_electrode_dropout,1,easy,signal,1800,15000,RobustRollingZScore,0.8693,0.0146,0.1422,0.0178,0.0316,0.506,0.4064,0.109,True,1282774.262715,32,13007,193,1768
ecg_electrode_dropout,1,easy,signal,1800,15000,IsolationForest,0.8702,0.0203,0.3111,0.0672,0.1106,0.058,0.95,0.5435,True,0.573679,121,12932,268,1679
ecg_electrode_dropout,1,easy,signal,1800,15000,Autoencoder,0.9359,0.0692,0.6574,0.9733,0.7848,0.0,0.9775,0.7251,True,0.768711,1752,12287,913,48
ecg_electrode_dropout,1,easy,signal,1800,15000,LOF,0.9038,0.0661,0.585,0.6828,0.6301,0.0,0.9423,0.7098,True,2.311338,1229,12328,872,571
ecg_electrode_dropout,2,easy,signal,1800,15000,ZScore,0.8819,0.0064,0.5707,0.0628,0.1131,3.831,0.7199,0.2659,True,3121971428.571226,113,13115,85,1687
ecg_electrode_dropout,2,easy,signal,1800,15000,RobustRollingZScore,0.8734,0.012,0.2719,0.0328,0.0585,1.828,0.4215,0.1265,True,1282774.262715,59,13042,158,1741
ecg_electrode_dropout,2,easy,signal,1800,15000,IsolationForest,0.8693,0.0234,0.3253,0.0828,0.132,1.497,0.9147,0.4601,True,0.573679,149,12891,309,1651
ecg_electrode_dropout,2,easy,signal,1800,15000,Autoencoder,0.917,0.0906,0.5942,0.9728,0.7377,0.953,0.9614,0.6572,True,0.768711,1751,12004,1196,49
ecg_electrode_dropout,2,easy,signal,1800,15000,LOF,0.8825,0.1162,0.5061,0.8733,0.6408,1.128,0.9495,0.6984,True,2.311338,1572,11666,1534,228
ecg_electrode_dropout,1,medium,signal,5700,15000,ZScore,0.6079,0.0204,0.0404,0.0014,0.0027,93.839,0.3458,0.3565,True,3121971428.571226,8,9110,190,5692
ecg_electrode_dropout,1,medium,signal,5700,15000,RobustRollingZScore,0.6089,0.0202,0.1048,0.0039,0.0074,1.906,0.2341,0.2561,True,1282774.262715,22,9112,188,5678
ecg_electrode_dropout,1,medium,signal,5700,15000,IsolationForest,0.6032,0.0298,0.0828,0.0044,0.0083,1.906,0.8375,0.6066,True,0.573679,25,9023,277,5675
ecg_electrode_dropout,1,medium,signal,5700,15000,Autoencoder,0.9151,0.1301,0.8233,0.9889,0.8985,1.225,0.9522,0.8333,True,0.768711,5637,8090,1210,63
ecg_electrode_dropout,1,medium,signal,5700,15000,LOF,0.7405,0.1669,0.684,0.5895,0.6332,1.497,0.8142,0.5872,True,2.311338,3360,7748,1552,2340
