tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9004,0.083,0.7782,0.6375,0.9363,0.711
easy,IsolationForest,0.9148,0.0228,0.4571,0.4733,0.9012,0.619
easy,LOF,0.8745,0.1002,0.6892,0.553,0.9176,0.6338
easy,RobustRollingZScore,0.8746,0.0142,0.0589,0.0889,0.4858,0.1676
easy,ZScore,0.9032,0.0129,0.2873,0.3052,0.7823,0.4323
hard,Autoencoder,0.7565,0.0738,0.6525,0.6852,0.865,0.8762
hard,IsolationForest,0.5915,0.0238,0.3558,0.3996,0.8321,0.8401
hard,LOF,0.6986,0.0778,0.5615,0.6354,0.866,0.8849
hard,RobustRollingZScore,0.409,0.0121,0.0542,0.0935,0.5112,0.6449
hard,ZScore,0.5003,0.0053,0.1972,0.2518,0.7701,0.829
medium,Autoencoder,0.7974,0.0995,0.6293,0.6266,0.8796,0.7835
medium,IsolationForest,0.7494,0.0281,0.3863,0.4167,0.8292,0.7196
medium,LOF,0.7657,0.1225,0.5832,0.6043,0.8612,0.7574
medium,RobustRollingZScore,0.6327,0.0145,0.057,0.091,0.4663,0.3958
medium,ZScore,0.7118,0.0128,0.2624,0.2938,0.717,0.6391
total,Autoencoder,0.8181,0.0854,0.6867,0.6498,0.8936,0.7902
total,IsolationForest,0.7519,0.0249,0.3997,0.4299,0.8542,0.7263
total,LOF,0.7796,0.1002,0.6113,0.5976,0.8816,0.7587
total,RobustRollingZScore,0.6388,0.0136,0.0567,0.0911,0.4878,0.4028
total,ZScore,0.7051,0.0103,0.249,0.2836,0.7564,0.6335
