tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.8989,0.112,0.979,0.6992,0.9831,0.8624
easy,IsolationForest,0.897,0.0724,0.6726,0.5565,0.9023,0.6022
easy,LOF,0.9103,0.0531,0.6424,0.6002,0.9393,0.6789
easy,RobustRollingZScore,0.8492,0.0475,0.092,0.1104,0.4875,0.1723
easy,ZScore,0.8882,0.0099,0.1413,0.1613,0.8935,0.5087
hard,Autoencoder,0.7808,0.1394,0.7318,0.7498,0.8792,0.8908
hard,IsolationForest,0.6462,0.115,0.4999,0.5344,0.7999,0.812
hard,LOF,0.739,0.0328,0.5991,0.6846,0.9203,0.9359
hard,RobustRollingZScore,0.4241,0.0533,0.1037,0.1706,0.4966,0.6407
hard,ZScore,0.4096,0.0118,0.0551,0.0877,0.7902,0.808
medium,Autoencoder,0.8738,0.1283,0.8773,0.8237,0.9488,0.898
medium,IsolationForest,0.7887,0.0866,0.5853,0.5905,0.8716,0.7637
medium,LOF,0.8406,0.0595,0.6775,0.7184,0.9362,0.8813
medium,RobustRollingZScore,0.6287,0.0499,0.1044,0.1582,0.4825,0.4119
medium,ZScore,0.6838,0.0105,0.185,0.2152,0.8653,0.7342
total,Autoencoder,0.8512,0.1266,0.8627,0.7576,0.9371,0.8837
total,IsolationForest,0.7773,0.0913,0.5859,0.5604,0.8579,0.726
total,LOF,0.83,0.0485,0.6396,0.6677,0.9319,0.832
total,RobustRollingZScore,0.634,0.0502,0.1,0.1464,0.4889,0.4083
total,ZScore,0.6606,0.0108,0.1271,0.1547,0.8497,0.6836
