tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9245,0.0104,0.447,0.4742,0.8384,0.5815
easy,IsolationForest,0.9085,0.0172,0.3636,0.3928,0.8724,0.5662
easy,LOF,0.9171,0.0308,0.5349,0.5328,0.9084,0.637
easy,RobustRollingZScore,0.8173,0.0816,0.0766,0.0827,0.4756,0.1355
easy,ZScore,0.8707,0.0231,0.0925,0.1256,0.7753,0.3323
hard,Autoencoder,0.6143,0.0099,0.3839,0.4246,0.8104,0.8442
hard,IsolationForest,0.5541,0.0182,0.2921,0.3359,0.8236,0.8418
hard,LOF,0.6599,0.0129,0.4594,0.5396,0.8825,0.9124
hard,RobustRollingZScore,0.4058,0.0983,0.1019,0.1646,0.5082,0.6229
hard,ZScore,0.3913,0.0232,0.0325,0.061,0.7096,0.7424
medium,Autoencoder,0.7987,0.0099,0.4864,0.5335,0.8663,0.7854
medium,IsolationForest,0.751,0.019,0.3759,0.4223,0.8601,0.7579
medium,LOF,0.8159,0.032,0.5676,0.6354,0.8992,0.8404
medium,RobustRollingZScore,0.6042,0.0855,0.0979,0.1448,0.4952,0.391
medium,ZScore,0.6252,0.0244,0.0534,0.0887,0.7552,0.5975
total,Autoencoder,0.7791,0.0101,0.4391,0.4775,0.8384,0.737
total,IsolationForest,0.7379,0.0181,0.3438,0.3837,0.8521,0.722
total,LOF,0.7976,0.0252,0.5206,0.5693,0.8967,0.7966
total,RobustRollingZScore,0.6091,0.0885,0.0921,0.1307,0.493,0.3831
total,ZScore,0.6291,0.0236,0.0595,0.0918,0.7467,0.5574
