tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9346,0.0735,0.9941,0.7849,0.9942,0.9332
easy,IsolationForest,0.9248,0.0418,0.6805,0.6232,0.964,0.6991
easy,LOF,0.9376,0.069,0.9861,0.7919,0.9935,0.9532
easy,RobustRollingZScore,0.8678,0.0247,0.0789,0.1058,0.4939,0.171
easy,ZScore,0.8116,0.1309,0.3899,0.2899,0.7707,0.4627
hard,Autoencoder,0.8918,0.1367,0.9092,0.8996,0.9602,0.9452
hard,IsolationForest,0.6856,0.0799,0.5419,0.5819,0.8828,0.8566
hard,LOF,0.9366,0.0746,0.9435,0.945,0.9785,0.9771
hard,RobustRollingZScore,0.4377,0.0231,0.1071,0.1732,0.5198,0.666
hard,ZScore,0.5237,0.0954,0.2903,0.3741,0.7129,0.7784
medium,Autoencoder,0.9327,0.0957,0.9791,0.9163,0.988,0.9553
medium,IsolationForest,0.8421,0.0533,0.6716,0.6725,0.9375,0.8282
medium,LOF,0.929,0.0883,0.9572,0.9106,0.9847,0.9666
medium,RobustRollingZScore,0.6379,0.0247,0.0873,0.1374,0.4883,0.4156
medium,ZScore,0.6815,0.1203,0.3581,0.38,0.7831,0.6922
total,Autoencoder,0.9197,0.102,0.9608,0.8669,0.9808,0.9446
total,IsolationForest,0.8175,0.0583,0.6313,0.6258,0.9281,0.7947
total,LOF,0.9344,0.0773,0.9623,0.8825,0.9856,0.9656
total,RobustRollingZScore,0.6478,0.0241,0.0911,0.1388,0.5007,0.4175
total,ZScore,0.6723,0.1155,0.3461,0.348,0.7555,0.6444
