tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9071,0.03,0.4464,0.4255,0.828,0.5483
easy,IsolationForest,0.8988,0.0126,0.2489,0.246,0.7288,0.3818
easy,LOF,0.8405,0.1161,0.5218,0.4041,0.767,0.4712
easy,RobustRollingZScore,0.8629,0.0232,0.0281,0.0469,0.5224,0.1307
easy,ZScore,0.8715,0.0414,0.2333,0.2384,0.6687,0.316
hard,Autoencoder,0.6917,0.0267,0.5191,0.5401,0.8725,0.8865
hard,IsolationForest,0.5302,0.0217,0.2555,0.2594,0.7344,0.7733
hard,LOF,0.6263,0.1358,0.4805,0.5301,0.7774,0.8082
hard,RobustRollingZScore,0.391,0.0178,0.0286,0.055,0.5527,0.658
hard,ZScore,0.5091,0.0361,0.2303,0.2762,0.7121,0.7711
medium,Autoencoder,0.8214,0.0355,0.5881,0.5863,0.854,0.7731
medium,IsolationForest,0.7639,0.0143,0.402,0.4121,0.7969,0.7047
medium,LOF,0.7699,0.1478,0.6356,0.5993,0.8255,0.7748
medium,RobustRollingZScore,0.6178,0.0218,0.0299,0.056,0.5297,0.4059
medium,ZScore,0.709,0.0428,0.3039,0.3325,0.7027,0.6003
total,Autoencoder,0.8068,0.0308,0.5179,0.5173,0.8515,0.736
total,IsolationForest,0.7309,0.0162,0.3021,0.3058,0.7534,0.62
total,LOF,0.7456,0.1332,0.546,0.5112,0.79,0.6847
total,RobustRollingZScore,0.6239,0.0209,0.0289,0.0526,0.5349,0.3982
total,ZScore,0.6965,0.0401,0.2559,0.2824,0.6945,0.5625
