tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9595,0.0444,0.988,0.8542,0.9934,0.9507
easy,IsolationForest,0.9709,0.0164,0.8784,0.852,0.9802,0.8858
easy,LOF,0.9365,0.0685,0.9736,0.7868,0.9914,0.9573
easy,RobustRollingZScore,0.8564,0.0356,0.0642,0.0845,0.467,0.1526
easy,ZScore,0.8819,0.0134,0.1142,0.1479,0.9316,0.5587
hard,Autoencoder,0.9129,0.0505,0.8904,0.9011,0.9705,0.9672
hard,IsolationForest,0.7499,0.0213,0.6097,0.6788,0.9402,0.9355
hard,LOF,0.8615,0.0591,0.8129,0.8403,0.9074,0.9391
hard,RobustRollingZScore,0.4116,0.0395,0.0752,0.1255,0.5019,0.6373
hard,ZScore,0.4385,0.0165,0.1045,0.1242,0.8929,0.8711
medium,Autoencoder,0.9661,0.0519,0.9953,0.9571,0.9953,0.979
medium,IsolationForest,0.914,0.0188,0.8042,0.815,0.9811,0.9393
medium,LOF,0.9133,0.0813,0.9044,0.8521,0.9373,0.9315
medium,RobustRollingZScore,0.6259,0.0357,0.0739,0.1136,0.4846,0.4044
medium,ZScore,0.6606,0.0145,0.1306,0.1631,0.9256,0.7938
total,Autoencoder,0.9461,0.0489,0.9579,0.9042,0.9864,0.9656
total,IsolationForest,0.8783,0.0188,0.7641,0.782,0.9672,0.9202
total,LOF,0.9038,0.0696,0.897,0.8264,0.9454,0.9427
total,RobustRollingZScore,0.6313,0.0369,0.0711,0.1079,0.4845,0.3981
total,ZScore,0.6604,0.0148,0.1164,0.1451,0.9167,0.7412
