tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9072,0.0364,0.4935,0.4804,0.8258,0.4715
easy,IsolationForest,0.8893,0.0138,0.1788,0.1815,0.8205,0.4434
easy,LOF,0.9069,0.0648,0.6989,0.6021,0.9177,0.6002
easy,RobustRollingZScore,0.8431,0.0508,0.0651,0.0831,0.4692,0.1417
easy,ZScore,0.8734,0.02,0.0912,0.1212,0.7958,0.3884
hard,Autoencoder,0.6017,0.016,0.3675,0.4401,0.8142,0.8613
hard,IsolationForest,0.4231,0.0008,0.07,0.1136,0.8558,0.8779
hard,LOF,0.7187,0.0451,0.5739,0.6453,0.8867,0.9111
hard,RobustRollingZScore,0.4009,0.0601,0.0706,0.1162,0.4627,0.5999
hard,ZScore,0.3973,0.0089,0.0333,0.0633,0.7705,0.8035
medium,Autoencoder,0.8061,0.0308,0.5402,0.5837,0.8736,0.7769
medium,IsolationForest,0.6788,0.0084,0.1685,0.1926,0.8825,0.7649
medium,LOF,0.8402,0.0687,0.6917,0.7268,0.9161,0.8446
medium,RobustRollingZScore,0.6147,0.0519,0.0707,0.1107,0.4778,0.3884
medium,ZScore,0.6297,0.0164,0.0524,0.0911,0.831,0.6895
total,Autoencoder,0.7717,0.0278,0.467,0.5014,0.8378,0.7032
total,IsolationForest,0.6637,0.0077,0.1391,0.1626,0.8529,0.6954
total,LOF,0.8219,0.0595,0.6548,0.6581,0.9068,0.7853
total,RobustRollingZScore,0.6196,0.0543,0.0688,0.1033,0.4699,0.3767
total,ZScore,0.6335,0.0151,0.059,0.0919,0.7991,0.6272
