tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9265,0.0824,0.9912,0.7664,0.9903,0.8933
easy,IsolationForest,0.9375,0.0326,0.7182,0.6751,0.9434,0.7435
easy,LOF,0.8516,0.1567,0.9131,0.5989,0.9518,0.7401
easy,RobustRollingZScore,0.8443,0.0528,0.0895,0.1063,0.5458,0.1915
easy,ZScore,0.9363,0.0103,0.5445,0.544,0.844,0.6045
hard,Autoencoder,0.8851,0.0626,0.853,0.8605,0.9461,0.9445
hard,IsolationForest,0.7023,0.0213,0.5329,0.5955,0.8833,0.8973
hard,LOF,0.8192,0.1033,0.7717,0.8011,0.8944,0.907
hard,RobustRollingZScore,0.4391,0.053,0.1278,0.2062,0.5663,0.6882
hard,ZScore,0.6407,0.0148,0.4295,0.5046,0.7807,0.822
medium,Autoencoder,0.9203,0.1039,0.9598,0.8978,0.9868,0.956
medium,IsolationForest,0.8485,0.0398,0.6663,0.6727,0.9186,0.8409
medium,LOF,0.8276,0.1975,0.8687,0.7896,0.9393,0.8748
medium,RobustRollingZScore,0.6313,0.0525,0.1155,0.1735,0.5535,0.4616
medium,ZScore,0.8013,0.0115,0.4959,0.5315,0.8168,0.7386
total,Autoencoder,0.9106,0.083,0.9347,0.8416,0.9744,0.9313
total,IsolationForest,0.8294,0.0312,0.6391,0.6477,0.9151,0.8272
total,LOF,0.8328,0.1525,0.8512,0.7299,0.9285,0.8406
total,RobustRollingZScore,0.6382,0.0528,0.1109,0.162,0.5552,0.4471
total,ZScore,0.7927,0.0122,0.49,0.5267,0.8138,0.7217
