tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.884,0.0504,0.4029,0.3816,0.8076,0.4838
easy,IsolationForest,0.8637,0.0367,0.1339,0.1512,0.6827,0.277
easy,LOF,0.7705,0.1898,0.4796,0.3212,0.7425,0.3501
easy,RobustRollingZScore,0.8692,0.0154,0.0235,0.0413,0.5169,0.1348
easy,ZScore,0.8745,0.0202,0.1028,0.1119,0.5736,0.2081
hard,Autoencoder,0.6984,0.0474,0.5426,0.5713,0.8456,0.8662
hard,IsolationForest,0.4999,0.042,0.2192,0.2557,0.736,0.7896
hard,LOF,0.6178,0.1347,0.4661,0.5481,0.7508,0.8042
hard,RobustRollingZScore,0.3867,0.0129,0.0187,0.0365,0.5385,0.6552
hard,ZScore,0.4884,0.0177,0.1858,0.2028,0.6506,0.7296
medium,Autoencoder,0.8457,0.0532,0.6807,0.6724,0.8709,0.8092
medium,IsolationForest,0.7398,0.0443,0.3875,0.4072,0.732,0.663
medium,LOF,0.6944,0.221,0.5564,0.5288,0.7431,0.7018
medium,RobustRollingZScore,0.6164,0.0162,0.017,0.0326,0.5069,0.3895
medium,ZScore,0.7072,0.0211,0.2639,0.2731,0.6555,0.5547
total,Autoencoder,0.8093,0.0503,0.542,0.5418,0.8413,0.7197
total,IsolationForest,0.7011,0.041,0.2469,0.2714,0.7169,0.5765
total,LOF,0.6942,0.1818,0.5007,0.466,0.7454,0.6187
total,RobustRollingZScore,0.6241,0.0149,0.0197,0.0368,0.5208,0.3932
total,ZScore,0.69,0.0197,0.1841,0.1959,0.6266,0.4975
