tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.8976,0.0652,0.625,0.5487,0.8768,0.626
easy,IsolationForest,0.9072,0.0293,0.4412,0.4311,0.821,0.5453
easy,LOF,0.9051,0.0676,0.7046,0.6132,0.9262,0.6724
easy,RobustRollingZScore,0.8652,0.0251,0.0607,0.0852,0.4983,0.1584
easy,ZScore,0.8738,0.0237,0.122,0.1331,0.7399,0.3935
hard,Autoencoder,0.6671,0.0546,0.4966,0.5507,0.7951,0.8397
hard,IsolationForest,0.5999,0.0254,0.3702,0.4083,0.7537,0.8044
hard,LOF,0.6447,0.0584,0.4627,0.5315,0.7897,0.8369
hard,RobustRollingZScore,0.4139,0.0235,0.0691,0.1178,0.516,0.6446
hard,ZScore,0.4291,0.021,0.0921,0.1282,0.7294,0.7968
medium,Autoencoder,0.8234,0.0689,0.6475,0.6669,0.8782,0.8074
medium,IsolationForest,0.7699,0.0293,0.4422,0.4617,0.844,0.7561
medium,LOF,0.8375,0.0767,0.6975,0.7188,0.9123,0.8461
medium,RobustRollingZScore,0.6283,0.0257,0.0638,0.1027,0.4994,0.4039
medium,ZScore,0.6489,0.0249,0.1167,0.1435,0.7371,0.6301
total,Autoencoder,0.796,0.0629,0.5897,0.5888,0.85,0.7577
total,IsolationForest,0.759,0.028,0.4179,0.4337,0.8062,0.702
total,LOF,0.7958,0.0676,0.6216,0.6212,0.8761,0.7851
total,RobustRollingZScore,0.6358,0.0248,0.0645,0.1019,0.5045,0.4023
total,ZScore,0.6506,0.0232,0.1103,0.135,0.7355,0.6068
