tag,variant,tier,target,n_anomaly,n_total,detector,accuracy,fpr,precision,recall,f1,latency_s,auc_roc,auc_pr,event_detected,threshold,tp,tn,fp,fn
ecg_baseline_wander,1,easy,signal,1800,15000,ZScore,0.8596,0.0232,0.0,0.0,0.0,,0.7541,0.2899,False,7631485714.285219,0,12894,306,1800
ecg_baseline_wander,1,easy,signal,1800,15000,RobustRollingZScore,0.8586,0.0244,0.0031,0.0006,0.0009,25.2,0.5212,0.117,True,1285684.227044,1,12878,322,1799
ecg_baseline_wander,1,easy,signal,1800,15000,IsolationForest,0.9139,0.0269,0.7088,0.48,0.5724,1.342,0.9462,0.6944,True,0.581893,864,12845,355,936
ecg_baseline_wander,1,easy,signal,1800,15000,Autoencoder,0.9187,0.0624,0.6303,0.7806,0.6974,0.272,0.9409,0.773,True,0.628416,1405,12376,824,395
ecg_baseline_wander,1,easy,signal,1800,15000,LOF,0.9213,0.0614,0.6384,0.7944,0.7079,1.653,0.9422,0.7676,True,1.79999,1430,12390,810,370
ecg_baseline_wander,2,easy,signal,1800,15000,ZScore,0.8592,0.0236,0.0,0.0,0.0,,0.7477,0.291,False,7631485714.285219,0,12888,312,1800
ecg_baseline_wander,2,easy,signal,1800,15000,RobustRollingZScore,0.8583,0.0247,0.0,0.0,0.0,,0.5976,0.1351,False,1285684.227044,0,12874,326,1800
ecg_baseline_wander,2,easy,signal,1800,15000,IsolationForest,0.9265,0.0353,0.7139,0.6461,0.6783,1.128,0.9631,0.7232,True,0.581893,1163,12734,466,637
ecg_baseline_wander,2,easy,signal,1800,15000,Autoencoder,0.9232,0.0743,0.6241,0.905,0.7388,1.108,0.9679,0.7973,True,0.628416,1629,12219,981,171
ecg_baseline_wander,2,easy,signal,1800,15000,LOF,0.9177,0.0852,0.6004,0.9389,0.7324,1.089,0.9705,0.7727,True,1.79999,1690,12075,1125,110
ecg_baseline_wander,1,medium,signal,5700,15000,ZScore,0.6071,0.0209,0.0,0.0,0.0,,0.7193,0.6067,False,7631485714.285219,0,9106,194,5700
