tier,detector,accuracy,fpr,recall,f1,auc_roc
easy,Autoencoder,0.7271972222222222,0.2781166666666667,0.7245111111111111,0.32641944444444443,0.7272638888888889
easy,IsolationForest,0.8216055555555556,0.12223055555555555,0.162025,0.11774722222222223,0.5389
easy,RobustRollingZScore,0.8935138888888888,0.018269444444444442,0.02139722222222222,0.033911111111111114,0.5076638888888889
easy,ZScore,0.8760916666666667,0.05613055555555556,0.26722500000000005,0.20120555555555555,0.6479750000000001
hard,Autoencoder,0.7104138888888889,0.23425555555555555,0.5646111111111112,0.5243805555555556,0.6767388888888889
hard,IsolationForest,0.6319194444444444,0.1412111111111111,0.16973055555555555,0.19289722222222222,0.5217111111111111
hard,RobustRollingZScore,0.5965527777777777,0.019530555555555554,0.01668611111111111,0.03166111111111111,0.5004472222222223
hard,ZScore,0.6634666666666666,0.059286111111111116,0.26438055555555556,0.2628666666666667,0.6316055555555555
medium,Autoencoder,0.6934722222222223,0.29341111111111107,0.6289972222222222,0.45400833333333335,0.670725
medium,IsolationForest,0.7143388888888889,0.14132222222222224,0.18088055555555557,0.17354444444444445,0.5404694444444444
medium,RobustRollingZScore,0.7382111111111112,0.018630555555555553,0.017219444444444443,0.03174166666666667,0.5024527777777777
medium,ZScore,0.7614055555555556,0.05982222222222222,0.2637111111111111,0.24110277777777778,0.64615
total,Autoencoder,0.7103611111111111,0.2685944444444444,0.6393731481481482,0.43493611111111113,0.691575925925926
total,IsolationForest,0.7226212962962962,0.1349212962962963,0.17087870370370373,0.16139629629629632,0.5336935185185185
total,RobustRollingZScore,0.7427592592592593,0.018810185185185183,0.018434259259259258,0.03243796296296296,0.5035212962962963
total,ZScore,0.7669879629629629,0.058412962962962965,0.26510555555555554,0.2350583333333333,0.6419101851851852
