tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9418,0.0134,0.6136,0.6448,0.922,0.7433
easy,IsolationForest,0.9218,0.0104,0.4244,0.4408,0.8738,0.6027
easy,LOF,0.9379,0.0417,0.7882,0.7302,0.9625,0.8062
easy,RobustRollingZScore,0.8721,0.0178,0.0645,0.0918,0.4786,0.1653
easy,ZScore,0.88,0.0091,0.0661,0.0977,0.8435,0.4181
hard,Autoencoder,0.6822,0.0166,0.4976,0.5558,0.857,0.8828
hard,IsolationForest,0.6002,0.0133,0.3633,0.4051,0.8389,0.8568
hard,LOF,0.7446,0.0373,0.611,0.6635,0.8659,0.8872
hard,RobustRollingZScore,0.4139,0.016,0.0645,0.1098,0.5055,0.6404
hard,ZScore,0.3832,0.011,0.0119,0.0231,0.7899,0.7988
medium,Autoencoder,0.851,0.0146,0.6316,0.6814,0.931,0.8799
medium,IsolationForest,0.7942,0.0115,0.4772,0.5094,0.8844,0.795
medium,LOF,0.8589,0.0485,0.7078,0.7369,0.9394,0.8876
medium,RobustRollingZScore,0.6351,0.0171,0.0675,0.1061,0.4868,0.4072
medium,ZScore,0.6259,0.0095,0.0308,0.0541,0.8363,0.6843
total,Autoencoder,0.825,0.0149,0.581,0.6273,0.9033,0.8353
total,IsolationForest,0.7721,0.0117,0.4216,0.4517,0.8657,0.7515
total,LOF,0.8471,0.0425,0.7023,0.7102,0.9226,0.8603
total,RobustRollingZScore,0.6403,0.017,0.0655,0.1026,0.4903,0.4043
total,ZScore,0.6297,0.0098,0.0363,0.0583,0.8232,0.6337
