tag,variant,tier,target,n_anomaly,n_total,detector,accuracy,fpr,precision,recall,f1,latency_s,auc_roc,auc_pr,event_detected,threshold,tp,tn,fp,fn
ecg_baseline_wander,1,easy,signal,1800,15000,ZScore,0.9293,0.072,0.6402,0.9389,0.7613,0.486,0.954,0.5432,True,31.7015,1690,12250,950,110
ecg_baseline_wander,1,easy,signal,1800,15000,RobustRollingZScore,0.8762,0.0044,0.0169,0.0006,0.0011,0.311,0.4724,0.1056,True,2018734.440892,1,13142,58,1799
ecg_baseline_wander,1,easy,signal,1800,15000,IsolationForest,0.9039,0.1092,0.5552,1.0,0.714,0.0,0.9618,0.6159,True,0.637176,1800,11758,1442,0
ecg_baseline_wander,1,easy,signal,1800,15000,Autoencoder,0.8376,0.1845,0.4249,1.0,0.5964,0.0,0.9557,0.5514,True,1.067053,1800,10764,2436,0
ecg_baseline_wander,1,easy,signal,1800,15000,LOF,0.8177,0.2071,0.397,1.0,0.5684,0.0,0.9571,0.5731,True,1.792942,1800,10466,2734,0
ecg_baseline_wander,2,easy,signal,1800,15000,ZScore,0.8905,0.1225,0.5231,0.9856,0.6835,0.506,0.9174,0.4106,True,31.7015,1774,11583,1617,26
ecg_baseline_wander,2,easy,signal,1800,15000,RobustRollingZScore,0.8779,0.0023,0.0,0.0,0.0,,0.4567,0.1039,False,2018734.440892,0,13169,31,1800
ecg_baseline_wander,2,easy,signal,1800,15000,IsolationForest,0.8133,0.2111,0.3906,0.9922,0.5606,0.233,0.9245,0.4449,True,0.637176,1786,10414,2786,14
ecg_baseline_wander,2,easy,signal,1800,15000,Autoencoder,0.7165,0.3221,0.2974,1.0,0.4585,0.0,0.9173,0.4083,True,1.067053,1800,8948,4252,0
ecg_baseline_wander,2,easy,signal,1800,15000,LOF,0.6919,0.3498,0.2801,0.9978,0.4374,0.078,0.9177,0.4098,True,1.792942,1796,8583,4617,4
ecg_baseline_wander,1,medium,signal,5700,15000,ZScore,0.8051,0.1626,0.7393,0.7523,0.7457,0.817,0.8547,0.6151,True,31.7015,4288,7788,1512,1412
ecg_baseline_wander,1,medium,signal,5700,15000,RobustRollingZScore,0.6182,0.0029,0.0,0.0,0.0,,0.4606,0.329,False,2018734.440892,0,9273,27,5700
ecg_baseline_wander,1,medium,signal,5700,15000,IsolationForest,0.8458,0.2452,0.7131,0.9942,0.8305,0.408,0.8617,0.625,True,0.637176,5667,7020,2280,33
ecg_baseline_wander,1,medium,signal,5700,15000,Autoencoder,0.791,0.3366,0.6453,0.9991,0.7842,0.097,0.8574,0.6169,True,1.067053,5695,6170,3130,5
ecg_baseline_wander,1,medium,signal,5700,15000,LOF,0.78,0.3538,0.6336,0.9982,0.7752,0.194,0.8654,0.6274,True,1.792942,5690,6010,3290,10
ecg_baseline_wander,2,medium,signal,5700,15000,ZScore,0.8045,0.1391,0.7584,0.7126,0.7348,1.108,0.8717,0.6385,True,31.7015,4062,8006,1294,1638
ecg_baseline_wander,2,medium,signal,5700,15000,RobustRollingZScore,0.6185,0.0024,0.0,0.0,0.0,,0.4486,0.3247,False,2018734.440892,0,9278,22,5700
ecg_baseline_wander,2,medium,signal,5700,15000,IsolationForest,0.8771,0.1954,0.7574,0.9954,0.8603,0.506,0.88,0.6526,True,0.637176,5674,7483,1817,26
ecg_baseline_wander,2,medium,signal,5700,15000,Autoencoder,0.8339,0.2669,0.6963,0.9984,0.8204,0.175,0.8754,0.6416,True,1.067053,5691,6818,2482,9
ecg_baseline_wander,2,medium,signal,5700,15000,LOF,0.8235,0.2834,0.6833,0.9979,0.8112,0.233,0.8831,0.6523,True,1.792942,5688,6664,2636,12
