tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.7387,0.2637,0.7558,0.3981,0.8496,0.4225
easy,IsolationForest,0.8104,0.1724,0.6843,0.4382,0.8481,0.4495
easy,LOF,0.7349,0.2876,0.8995,0.4504,0.8625,0.4308
easy,RobustRollingZScore,0.8799,0.0046,0.033,0.0544,0.4613,0.157
easy,ZScore,0.8633,0.1015,0.6053,0.4661,0.8176,0.4088
hard,Autoencoder,0.7027,0.2493,0.6734,0.675,0.7493,0.7773
hard,IsolationForest,0.6861,0.1621,0.5931,0.6189,0.7572,0.7828
hard,LOF,0.7302,0.2754,0.7337,0.7365,0.7816,0.7956
hard,RobustRollingZScore,0.3961,0.0038,0.0283,0.0506,0.4593,0.6062
hard,ZScore,0.5325,0.0989,0.3066,0.3639,0.7321,0.7863
medium,Autoencoder,0.6457,0.355,0.6468,0.5311,0.7317,0.5843
medium,IsolationForest,0.7092,0.2353,0.6186,0.5465,0.717,0.6076
medium,LOF,0.6653,0.382,0.7424,0.5997,0.751,0.5961
medium,RobustRollingZScore,0.6293,0.0048,0.0323,0.0557,0.4583,0.3903
medium,ZScore,0.7262,0.1372,0.5033,0.4922,0.6943,0.5716
total,Autoencoder,0.6957,0.2893,0.692,0.5348,0.7768,0.5947
total,IsolationForest,0.7352,0.1899,0.632,0.5345,0.7741,0.6133
total,LOF,0.7101,0.315,0.7919,0.5955,0.7983,0.6075
total,RobustRollingZScore,0.6351,0.0044,0.0312,0.0536,0.4596,0.3845
total,ZScore,0.7073,0.1125,0.4717,0.4407,0.748,0.5889
