tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.8806,0.0857,0.6334,0.5157,0.8697,0.6286
easy,IsolationForest,0.8507,0.0595,0.192,0.1926,0.6862,0.2894
easy,LOF,0.8024,0.1387,0.371,0.2836,0.6893,0.3511
easy,RobustRollingZScore,0.8658,0.0207,0.0337,0.0568,0.542,0.1396
easy,ZScore,0.8889,0.0309,0.3007,0.3017,0.712,0.3901
hard,Autoencoder,0.7011,0.0778,0.5656,0.5998,0.8304,0.8563
hard,IsolationForest,0.5024,0.0681,0.2393,0.2883,0.7224,0.7697
hard,LOF,0.5648,0.1369,0.3819,0.4582,0.7117,0.7701
hard,RobustRollingZScore,0.3949,0.0109,0.0307,0.0591,0.5816,0.6817
hard,ZScore,0.5082,0.0242,0.2216,0.2627,0.7128,0.7712
medium,Autoencoder,0.786,0.1093,0.6152,0.5909,0.8214,0.7484
medium,IsolationForest,0.7054,0.079,0.3534,0.3577,0.7203,0.6227
medium,LOF,0.6899,0.1715,0.4638,0.4605,0.7077,0.6429
medium,RobustRollingZScore,0.6199,0.02,0.0324,0.0606,0.5395,0.4125
medium,ZScore,0.681,0.0315,0.212,0.2417,0.6731,0.5548
total,Autoencoder,0.7892,0.0909,0.6047,0.5688,0.8405,0.7444
total,IsolationForest,0.6862,0.0689,0.2616,0.2795,0.7096,0.5606
total,LOF,0.6857,0.149,0.4056,0.4008,0.7029,0.588
total,RobustRollingZScore,0.6269,0.0172,0.0323,0.0588,0.5544,0.4112
total,ZScore,0.6927,0.0289,0.2447,0.2687,0.6993,0.572
