tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.8691,0.084,0.525,0.435,0.8322,0.5363
easy,IsolationForest,0.8362,0.0842,0.252,0.2348,0.6678,0.2947
easy,LOF,0.7569,0.193,0.39,0.2692,0.6823,0.2639
easy,RobustRollingZScore,0.8705,0.0135,0.0194,0.0347,0.5215,0.1319
easy,ZScore,0.8925,0.0118,0.1909,0.2036,0.6446,0.3109
hard,Autoencoder,0.6496,0.0885,0.4891,0.5276,0.8154,0.8332
hard,IsolationForest,0.4691,0.0839,0.1952,0.2654,0.662,0.7198
hard,LOF,0.5146,0.1911,0.3343,0.4292,0.6785,0.7266
hard,RobustRollingZScore,0.3864,0.0103,0.0167,0.0326,0.5476,0.6572
hard,ZScore,0.4483,0.0049,0.1131,0.1389,0.6962,0.7708
medium,Autoencoder,0.786,0.107,0.6114,0.5844,0.8118,0.7389
medium,IsolationForest,0.7236,0.1054,0.4445,0.4419,0.7136,0.6299
medium,LOF,0.6614,0.2456,0.5095,0.4725,0.7048,0.6336
medium,RobustRollingZScore,0.6179,0.0137,0.0168,0.0323,0.5222,0.3979
medium,ZScore,0.6884,0.0097,0.1958,0.2193,0.6999,0.5862
total,Autoencoder,0.7682,0.0932,0.5418,0.5157,0.8198,0.7028
total,IsolationForest,0.6763,0.0912,0.2973,0.314,0.6811,0.5482
total,LOF,0.6443,0.2099,0.4112,0.3903,0.6885,0.5414
total,RobustRollingZScore,0.6249,0.0125,0.0176,0.0332,0.5304,0.3957
total,ZScore,0.6764,0.0088,0.1666,0.1873,0.6802,0.556
