tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9119,0.0464,0.6059,0.5591,0.9524,0.7094
easy,IsolationForest,0.9104,0.0346,0.5064,0.4885,0.9131,0.6253
easy,LOF,0.8921,0.1092,0.9013,0.6643,0.951,0.6655
easy,RobustRollingZScore,0.8622,0.0219,0.0118,0.0199,0.4637,0.1186
easy,ZScore,0.8804,0.0689,0.5083,0.4263,0.8072,0.5063
hard,Autoencoder,0.6241,0.0591,0.43,0.4783,0.8595,0.8614
hard,IsolationForest,0.5846,0.0503,0.3608,0.396,0.8067,0.818
hard,LOF,0.7507,0.1393,0.6833,0.727,0.867,0.8482
hard,RobustRollingZScore,0.384,0.0188,0.018,0.0346,0.4841,0.6146
hard,ZScore,0.5875,0.0994,0.3956,0.4661,0.74,0.7998
medium,Autoencoder,0.8182,0.0541,0.6097,0.6439,0.9357,0.8439
medium,IsolationForest,0.7677,0.0426,0.458,0.4788,0.9029,0.7939
medium,LOF,0.8575,0.1396,0.8527,0.8052,0.9156,0.7876
medium,RobustRollingZScore,0.614,0.0203,0.0173,0.0325,0.4812,0.3783
medium,ZScore,0.7677,0.0832,0.5243,0.5326,0.823,0.7254
total,Autoencoder,0.7847,0.0532,0.5485,0.5604,0.9158,0.8049
total,IsolationForest,0.7542,0.0425,0.4417,0.4544,0.8742,0.7457
total,LOF,0.8334,0.1293,0.8124,0.7322,0.9112,0.7671
total,RobustRollingZScore,0.6201,0.0203,0.0157,0.029,0.4763,0.3705
total,ZScore,0.7452,0.0838,0.4761,0.475,0.7901,0.6771
