tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.898,0.0914,0.8205,0.6461,0.9358,0.6009
easy,IsolationForest,0.8988,0.0498,0.5217,0.4605,0.8513,0.4931
easy,LOF,0.8609,0.137,0.8453,0.589,0.9329,0.5944
easy,RobustRollingZScore,0.8682,0.0195,0.0442,0.0673,0.4511,0.1423
easy,ZScore,0.8836,0.0223,0.1938,0.2,0.8155,0.3853
hard,Autoencoder,0.7845,0.0385,0.6761,0.7395,0.8999,0.9233
hard,IsolationForest,0.585,0.0231,0.3448,0.4069,0.8361,0.8661
hard,LOF,0.8097,0.0503,0.7238,0.7841,0.9123,0.9303
hard,RobustRollingZScore,0.4001,0.0184,0.0437,0.0766,0.464,0.6083
hard,ZScore,0.474,0.0164,0.1616,0.208,0.7904,0.8192
medium,Autoencoder,0.8556,0.0911,0.7686,0.7647,0.9173,0.8131
medium,IsolationForest,0.7741,0.051,0.4887,0.5275,0.823,0.7208
medium,LOF,0.8411,0.1486,0.8243,0.7796,0.9068,0.7999
medium,RobustRollingZScore,0.6245,0.0193,0.0434,0.0741,0.4682,0.3863
medium,ZScore,0.7072,0.024,0.2685,0.2858,0.8023,0.6615
total,Autoencoder,0.8461,0.0737,0.7551,0.7168,0.9177,0.7791
total,IsolationForest,0.7526,0.0413,0.4517,0.465,0.8368,0.6934
total,LOF,0.8372,0.112,0.7978,0.7176,0.9173,0.7749
total,RobustRollingZScore,0.6309,0.0191,0.0438,0.0727,0.4611,0.379
total,ZScore,0.6883,0.0209,0.208,0.2313,0.8028,0.622
