tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9363,0.0652,0.9472,0.7773,0.9846,0.9014
easy,IsolationForest,0.9379,0.0263,0.6752,0.6387,0.9581,0.7372
easy,LOF,0.9086,0.0982,0.9584,0.716,0.9845,0.9249
easy,RobustRollingZScore,0.8619,0.0246,0.0295,0.047,0.4516,0.1277
easy,ZScore,0.8701,0.0167,0.0397,0.0658,0.8466,0.3771
hard,Autoencoder,0.8264,0.0774,0.7675,0.7894,0.9109,0.9217
hard,IsolationForest,0.6374,0.0309,0.4341,0.4846,0.8979,0.893
hard,LOF,0.8705,0.083,0.8421,0.8614,0.9483,0.9577
hard,RobustRollingZScore,0.3882,0.0251,0.0285,0.053,0.4425,0.5921
hard,ZScore,0.3825,0.018,0.015,0.0293,0.8123,0.8154
medium,Autoencoder,0.9141,0.0707,0.8892,0.8686,0.9698,0.9344
medium,IsolationForest,0.8558,0.028,0.6663,0.6927,0.9515,0.8741
medium,LOF,0.9043,0.1172,0.9393,0.8769,0.9828,0.9698
medium,RobustRollingZScore,0.6151,0.0243,0.0268,0.0487,0.4269,0.3607
medium,ZScore,0.6162,0.0172,0.0181,0.0343,0.8394,0.6827
total,Autoencoder,0.8923,0.0711,0.868,0.8118,0.9551,0.9192
total,IsolationForest,0.8104,0.0284,0.5919,0.6054,0.9358,0.8348
total,LOF,0.8945,0.0995,0.9132,0.8181,0.9719,0.9508
total,RobustRollingZScore,0.6217,0.0247,0.0283,0.0496,0.4403,0.3601
total,ZScore,0.6229,0.0173,0.0243,0.0431,0.8328,0.625
