tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.8444,0.1698,0.9487,0.5944,0.9675,0.7733
easy,IsolationForest,0.9123,0.0698,0.7811,0.645,0.9324,0.6944
easy,LOF,0.7733,0.254,0.9732,0.5106,0.9579,0.7162
easy,RobustRollingZScore,0.8715,0.0185,0.0645,0.0912,0.4892,0.1676
easy,ZScore,0.7394,0.2395,0.5846,0.3309,0.7584,0.5056
hard,Autoencoder,0.819,0.1936,0.8267,0.8263,0.8924,0.8821
hard,IsolationForest,0.7211,0.0939,0.6076,0.6406,0.8537,0.852
hard,LOF,0.8604,0.2219,0.9109,0.8867,0.8857,0.8719
hard,RobustRollingZScore,0.4167,0.0188,0.0707,0.1212,0.486,0.6381
hard,ZScore,0.5953,0.2054,0.4731,0.5444,0.699,0.7859
medium,Autoencoder,0.8527,0.2098,0.9547,0.831,0.9607,0.886
medium,IsolationForest,0.8604,0.091,0.7809,0.7474,0.9241,0.8303
medium,LOF,0.7994,0.3055,0.9706,0.7917,0.938,0.8413
medium,RobustRollingZScore,0.6325,0.0183,0.063,0.0999,0.473,0.4012
medium,ZScore,0.7226,0.2257,0.6381,0.5968,0.7753,0.7086
total,Autoencoder,0.8387,0.1911,0.9101,0.7506,0.9402,0.8472
total,IsolationForest,0.8312,0.0849,0.7232,0.6777,0.9034,0.7922
total,LOF,0.8111,0.2604,0.9516,0.7297,0.9272,0.8098
total,RobustRollingZScore,0.6402,0.0185,0.0661,0.1041,0.4828,0.4023
total,ZScore,0.6858,0.2235,0.5653,0.4907,0.7442,0.6667
