tag,variant,tier,target,n_anomaly,n_total,detector,accuracy,fpr,precision,recall,f1,latency_s,auc_roc,auc_pr,event_detected,threshold,tp,tn,fp,fn
ecg_electrode_dropout,1,easy,signal,1800,15000,ZScore,0.684,0.2469,0.0892,0.1772,0.1186,0.0,0.537,0.1341,True,2081314285.714151,319,9941,3259,1481
ecg_electrode_dropout,1,easy,signal,1800,15000,RobustRollingZScore,0.8651,0.019,0.1004,0.0156,0.0269,1.886,0.3834,0.1009,True,1099520.796612,28,12949,251,1772
ecg_electrode_dropout,1,easy,signal,1800,15000,IsolationForest,0.9308,0.0718,0.6433,0.95,0.7672,0.097,0.9632,0.6952,True,0.559547,1710,12252,948,90
ecg_electrode_dropout,1,easy,signal,1800,15000,Autoencoder,0.8557,0.162,0.4535,0.9856,0.6211,0.019,0.9712,0.6535,True,0.574157,1774,11062,2138,26
ecg_electrode_dropout,1,easy,signal,1800,15000,LOF,0.7968,0.2305,0.371,0.9972,0.5408,0.058,0.9652,0.6235,True,1.472817,1795,10157,3043,5
ecg_electrode_dropout,2,easy,signal,1800,15000,ZScore,0.7098,0.233,0.1453,0.2906,0.1937,0.0,0.5929,0.1518,True,2081314285.714151,523,10124,3076,1277
ecg_electrode_dropout,2,easy,signal,1800,15000,RobustRollingZScore,0.8685,0.0173,0.1965,0.0311,0.0537,0.039,0.4083,0.1157,True,1099520.796612,56,12971,229,1744
ecg_electrode_dropout,2,easy,signal,1800,15000,IsolationForest,0.9277,0.0764,0.631,0.9578,0.7608,1.069,0.9633,0.7091,True,0.559547,1724,12192,1008,76
ecg_electrode_dropout,2,easy,signal,1800,15000,Autoencoder,0.8339,0.1854,0.4178,0.9756,0.585,0.856,0.9621,0.6533,True,0.574157,1756,10753,2447,44
ecg_electrode_dropout,2,easy,signal,1800,15000,LOF,0.7534,0.2783,0.3257,0.9861,0.4897,0.175,0.9548,0.5946,True,1.472817,1775,9526,3674,25
ecg_electrode_dropout,1,medium,signal,5700,15000,ZScore,0.5598,0.2398,0.3731,0.2328,0.2867,4.511,0.542,0.4117,True,2081314285.714151,1327,7070,2230,4373
ecg_electrode_dropout,1,medium,signal,5700,15000,RobustRollingZScore,0.6151,0.0185,0.363,0.0172,0.0328,1.906,0.3818,0.3318,True,1099520.796612,98,9128,172,5602
ecg_electrode_dropout,1,medium,signal,5700,15000,IsolationForest,0.9336,0.0988,0.8595,0.9865,0.9186,0.972,0.9637,0.8582,True,0.559547,5623,8381,919,77
ecg_electrode_dropout,1,medium,signal,5700,15000,Autoencoder,0.8413,0.252,0.7073,0.9935,0.8263,0.719,0.9607,0.8363,True,0.574157,5663,6956,2344,37
ecg_electrode_dropout,1,medium,signal,5700,15000,LOF,0.747,0.4044,0.601,0.994,0.7491,0.253,0.9545,0.8356,True,1.472817,5666,5539,3761,34
ecg_electrode_dropout,2,medium,signal,5700,15000,ZScore,0.8413,0.2462,0.7101,0.984,0.8249,1.614,0.9741,0.9564,True,2081314285.714151,5609,7010,2290,91
ecg_electrode_dropout,2,medium,signal,5700,15000,RobustRollingZScore,0.609,0.0186,0.0442,0.0014,0.0027,1.906,0.3274,0.2835,True,1099520.796612,8,9127,173,5692
ecg_electrode_dropout,2,medium,signal,5700,15000,IsolationForest,0.9769,0.0326,0.9492,0.9923,0.9702,0.35,0.9946,0.9852,True,0.559547,5656,8997,303,44
ecg_electrode_dropout,2,medium,signal,5700,15000,Autoencoder,0.9547,0.069,0.8982,0.9933,0.9434,0.739,0.9951,0.9797,True,0.574157,5662,8658,642,38
ecg_electrode_dropout,2,medium,signal,5700,15000,LOF,0.9684,0.0465,0.9291,0.9926,0.9598,0.369,0.9906,0.9642,True,1.472817,5658,8868,432,42
ecg_electrode_dropout,1,hard,signal,9300,15000,ZScore,0.3046,0.2114,0.0579,0.008,0.014,0.758,0.5517,0.7472,True,2081314285.714151,74,4495,1205,9226
ecg_electrode_dropout,1,hard,signal,9300,15000,RobustRollingZScore,0.3735,0.0209,0.156,0.0024,0.0047,0.856,0.2892,0.4914,True,1099520.796612,22,5581,119,9278
ecg_electrode_dropout,1,hard,signal,9300,15000,IsolationForest,0.9379,0.1577,0.9116,0.9966,0.9522,0.622,0.9917,0.9842,True,0.559547,9268,4801,899,32
ecg_electrode_dropout,1,hard,signal,9300,15000,Autoencoder,0.8824,0.3046,0.8423,0.997,0.9131,0.544,0.9795,0.9571,True,0.574157,9272,3964,1736,28
ecg_electrode_dropout,1,hard,signal,9300,15000,LOF,0.8417,0.4118,0.798,0.997,0.8865,0.078,0.8074,0.7447,True,1.472817,9272,3353,2347,28
ecg_electrode_dropout,2,hard,signal,9300,15000,ZScore,0.4652,0.2004,0.6794,0.2602,0.3763,0.0,0.5875,0.6793,True,2081314285.714151,2420,4558,1142,6880
ecg_electrode_dropout,2,hard,signal,9300,15000,RobustRollingZScore,0.3845,0.0179,0.625,0.0183,0.0355,0.331,0.379,0.5683,True,1099520.796612,170,5598,102,9130
