tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.8656,0.083,0.4893,0.4024,0.7981,0.5191
easy,IsolationForest,0.8646,0.0553,0.2774,0.2619,0.7387,0.3764
easy,LOF,0.7956,0.1785,0.6059,0.3985,0.7718,0.4524
easy,RobustRollingZScore,0.8701,0.0142,0.0218,0.0385,0.5146,0.1313
easy,ZScore,0.8954,0.0066,0.1768,0.1829,0.6786,0.3213
hard,Autoencoder,0.6828,0.0944,0.5463,0.5678,0.8295,0.8492
hard,IsolationForest,0.5007,0.0717,0.2387,0.2848,0.73,0.7603
hard,LOF,0.5767,0.1854,0.431,0.507,0.7418,0.7799
hard,RobustRollingZScore,0.3871,0.0108,0.0181,0.0354,0.55,0.6601
hard,ZScore,0.4917,0.0008,0.1806,0.1942,0.743,0.8077
medium,Autoencoder,0.8176,0.1115,0.7019,0.6644,0.8991,0.8214
medium,IsolationForest,0.7757,0.0716,0.5265,0.5246,0.8295,0.7244
medium,LOF,0.7481,0.2337,0.7185,0.6509,0.8682,0.8018
medium,RobustRollingZScore,0.6192,0.0149,0.0224,0.0425,0.5408,0.415
medium,ZScore,0.717,0.0045,0.2627,0.2744,0.7417,0.6453
total,Autoencoder,0.7887,0.0963,0.5792,0.5448,0.8422,0.7299
total,IsolationForest,0.7137,0.0662,0.3475,0.3571,0.7661,0.6203
total,LOF,0.7068,0.1992,0.5851,0.5188,0.7939,0.6781
total,RobustRollingZScore,0.6255,0.0133,0.0208,0.0388,0.5352,0.4021
total,ZScore,0.7014,0.004,0.2067,0.2171,0.7211,0.5914
