tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9665,0.0138,0.8217,0.8333,0.9768,0.8713
easy,IsolationForest,0.9242,0.0035,0.3944,0.4222,0.9046,0.6495
easy,LOF,0.9088,0.0735,0.7786,0.6473,0.9488,0.7342
easy,RobustRollingZScore,0.8701,0.0224,0.0819,0.1099,0.4944,0.1741
easy,ZScore,0.7934,0.1808,0.6047,0.3876,0.8072,0.4856
hard,Autoencoder,0.7878,0.0138,0.6662,0.6807,0.8995,0.9137
hard,IsolationForest,0.5189,0.0051,0.2273,0.2674,0.887,0.9009
hard,LOF,0.704,0.0498,0.5531,0.6257,0.8527,0.8897
hard,RobustRollingZScore,0.43,0.0213,0.0937,0.153,0.5177,0.6546
hard,ZScore,0.5678,0.1547,0.3977,0.4886,0.7651,0.8066
medium,Autoencoder,0.8754,0.0146,0.696,0.7272,0.9435,0.8959
medium,IsolationForest,0.7228,0.0045,0.2779,0.3063,0.8988,0.8126
medium,LOF,0.8238,0.08,0.6669,0.6977,0.8998,0.8383
medium,RobustRollingZScore,0.6339,0.0224,0.0732,0.1132,0.4994,0.412
medium,ZScore,0.6946,0.1748,0.4815,0.4924,0.7862,0.6633
total,Autoencoder,0.8766,0.0141,0.728,0.7471,0.9399,0.8937
total,IsolationForest,0.722,0.0044,0.2999,0.332,0.8968,0.7877
total,LOF,0.8122,0.0677,0.6662,0.6569,0.9004,0.8207
total,RobustRollingZScore,0.6447,0.022,0.0829,0.1254,0.5038,0.4136
total,ZScore,0.6853,0.1701,0.4946,0.4562,0.7862,0.6518
