tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9133,0.0353,0.5366,0.5119,0.8483,0.5954
easy,IsolationForest,0.8808,0.0257,0.1953,0.2169,0.7543,0.3764
easy,LOF,0.7985,0.1563,0.4668,0.3367,0.7424,0.3643
easy,RobustRollingZScore,0.8544,0.036,0.0511,0.0776,0.5285,0.1343
easy,ZScore,0.8861,0.0344,0.3028,0.2996,0.6948,0.3762
hard,Autoencoder,0.6029,0.0379,0.3828,0.4241,0.7818,0.821
hard,IsolationForest,0.44,0.0284,0.1141,0.14,0.7199,0.7625
hard,LOF,0.5484,0.1439,0.3598,0.4466,0.7152,0.7713
hard,RobustRollingZScore,0.3971,0.0281,0.0449,0.0844,0.5641,0.6684
hard,ZScore,0.4523,0.0339,0.1373,0.1785,0.6401,0.7106
medium,Autoencoder,0.7275,0.0555,0.3734,0.3877,0.7421,0.649
medium,IsolationForest,0.689,0.0341,0.2372,0.265,0.7131,0.5977
medium,LOF,0.6842,0.1948,0.4866,0.4773,0.704,0.6005
medium,RobustRollingZScore,0.6143,0.0362,0.0441,0.0798,0.5382,0.4085
medium,ZScore,0.618,0.0366,0.0544,0.0938,0.5828,0.4408
total,Autoencoder,0.7479,0.0429,0.4309,0.4412,0.7908,0.6885
total,IsolationForest,0.6699,0.0294,0.1822,0.2073,0.7291,0.5788
total,LOF,0.677,0.165,0.4378,0.4202,0.7205,0.5787
total,RobustRollingZScore,0.6219,0.0334,0.0467,0.0806,0.5436,0.4037
total,ZScore,0.6521,0.035,0.1649,0.1906,0.6392,0.5092
