tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.948,0.0378,0.8441,0.7639,0.9432,0.8219
easy,IsolationForest,0.9402,0.0249,0.6843,0.6666,0.9015,0.7457
easy,LOF,0.8738,0.1307,0.9072,0.6267,0.961,0.7653
easy,RobustRollingZScore,0.8604,0.0264,0.0304,0.0473,0.4576,0.1309
easy,ZScore,0.8905,0.0243,0.2664,0.2724,0.7485,0.4494
hard,Autoencoder,0.6942,0.0478,0.5361,0.6039,0.8361,0.8646
hard,IsolationForest,0.5792,0.0233,0.3356,0.3814,0.7874,0.8258
hard,LOF,0.814,0.1212,0.7742,0.8175,0.91,0.9131
hard,RobustRollingZScore,0.3907,0.0244,0.0322,0.0594,0.4662,0.6048
hard,ZScore,0.4302,0.0186,0.0924,0.1317,0.6515,0.7539
medium,Autoencoder,0.8735,0.0482,0.7457,0.7699,0.9089,0.8514
medium,IsolationForest,0.7811,0.0241,0.4631,0.5114,0.8742,0.7885
medium,LOF,0.8555,0.1616,0.8832,0.814,0.9367,0.8734
medium,RobustRollingZScore,0.6175,0.0251,0.0344,0.0607,0.4553,0.3749
medium,ZScore,0.6503,0.0207,0.1135,0.1461,0.6911,0.6085
total,Autoencoder,0.8386,0.0446,0.7086,0.7126,0.8961,0.8459
total,IsolationForest,0.7668,0.0241,0.4944,0.5198,0.8543,0.7867
total,LOF,0.8478,0.1378,0.8549,0.7527,0.9359,0.8506
total,RobustRollingZScore,0.6229,0.0253,0.0323,0.0558,0.4597,0.3702
total,ZScore,0.657,0.0212,0.1574,0.1834,0.697,0.6039
